alpha,chi2
1.025025e+00,8.745912e+01
1.025425e+00,8.748636e+01
1.025826e+00,8.751379e+01
1.026226e+00,8.754139e+01
1.026627e+00,8.756918e+01
1.027027e+00,8.759714e+01
1.027427e+00,8.762528e+01
1.027828e+00,8.765359e+01
1.028228e+00,8.768208e+01
1.028629e+00,8.771075e+01
1.029029e+00,8.773958e+01
1.029429e+00,8.776859e+01
1.029830e+00,8.779777e+01
1.030230e+00,8.782711e+01
1.030631e+00,8.785663e+01
1.031031e+00,8.788631e+01
1.031431e+00,8.791615e+01
1.031832e+00,8.794616e+01
1.032232e+00,8.797634e+01
1.032633e+00,8.800667e+01
1.033033e+00,8.803717e+01
1.033433e+00,8.806782e+01
1.033834e+00,8.809864e+01
1.034234e+00,8.812961e+01
1.034635e+00,8.816074e+01
1.035035e+00,8.819202e+01
1.035435e+00,8.822345e+01
1.035836e+00,8.825504e+01
1.036236e+00,8.828678e+01
1.036637e+00,8.831867e+01
1.037037e+00,8.835070e+01
1.037437e+00,8.838289e+01
1.037838e+00,8.841522e+01
1.038238e+00,8.844769e+01
1.038639e+00,8.848031e+01
1.039039e+00,8.851307e+01
1.039439e+00,8.854598e+01
1.039840e+00,8.857902e+01
1.040240e+00,8.861220e+01
1.040641e+00,8.864552e+01
1.041041e+00,8.867898e+01
1.041441e+00,8.871257e+01
1.041842e+00,8.874630e+01
1.042242e+00,8.878016e+01
1.042643e+00,8.881415e+01
1.043043e+00,8.884828e+01
1.043443e+00,8.888253e+01
1.043844e+00,8.891691e+01
1.044244e+00,8.895142e+01
1.044645e+00,8.898606e+01
1.045045e+00,8.902082e+01
1.045445e+00,8.905570e+01
1.045846e+00,8.909071e+01
1.046246e+00,8.912583e+01
1.046647e+00,8.916108e+01
1.047047e+00,8.919645e+01
1.047447e+00,8.923193e+01
1.047848e+00,8.926753e+01
1.048248e+00,8.930324e+01
1.048649e+00,8.933907e+01
1.049049e+00,8.937501e+01
1.049449e+00,8.941107e+01
1.049850e+00,8.944723e+01
1.050250e+00,8.948351e+01
1.050651e+00,8.951989e+01
1.051051e+00,8.955639e+01
1.051451e+00,8.959298e+01
1.051852e+00,8.962969e+01
1.052252e+00,8.966650e+01
1.052653e+00,8.970341e+01
1.053053e+00,8.974042e+01
1.053453e+00,8.977754e+01
1.053854e+00,8.981476e+01
1.054254e+00,8.985208e+01
1.054655e+00,8.988949e+01
1.055055e+00,8.992701e+01
1.055455e+00,8.996463e+01
1.055856e+00,9.000234e+01
1.056256e+00,9.004014e+01
1.056657e+00,9.007805e+01
1.057057e+00,9.011604e+01
1.057457e+00,9.015414e+01
1.057858e+00,9.019232e+01
1.058258e+00,9.023060e+01
1.058659e+00,9.026897e+01
1.059059e+00,9.030743e+01
1.059459e+00,9.034598e+01
1.059860e+00,9.038461e+01
1.060260e+00,9.042334e+01
1.060661e+00,9.046215e+01
1.061061e+00,9.050106e+01
1.061461e+00,9.054004e+01
1.061862e+00,9.057911e+01
1.062262e+00,9.061827e+01
1.062663e+00,9.065751e+01
1.063063e+00,9.069683e+01
1.063463e+00,9.073624e+01
1.063864e+00,9.077573e+01
1.064264e+00,9.081529e+01
1.064665e+00,9.085494e+01
1.065065e+00,9.089466e+01
1.065465e+00,9.093446e+01
1.065866e+00,9.097434e+01
1.066266e+00,9.101429e+01
1.066667e+00,9.105432e+01
1.067067e+00,9.109442e+01
1.067467e+00,9.113459e+01
1.067868e+00,9.117484e+01
1.068268e+00,9.121515e+01
1.068669e+00,9.125554e+01
1.069069e+00,9.129599e+01
